headline,date,ticker,score,current,1h_return,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,Stoch_K,Stoch_D,Williams_R,ROC,ATR_14,BB_Upper,BB_Lower,BB_Width,OBV,Vol_SMA_20,MFI_14,ADX_14,CCI_20
"I Predicted That Oracle and Netflix Would Join Nvidia, Alphabet, Apple, Microsoft, Amazon, Broadcom, Meta Platforms, and Tesla in the $1 Trillion Club by 2030. Here's Why That Forecast Is Being Tested in 2026.",2026-02-13 17:11:00+00:00,AAPL,0.0,259.5899963378906,-0.0043530370921599365,262.8682495117188,269.79113006591797,273.2520007324219,264.39251078916925,268.39180732095843,23.47753589828004,5.601475156476159,5.601475156476159,-94.39852484352384,-7.150007580820883,2.87567138671875,285.19673173023017,254.38552840160574,0.11869179769361984,-61926013.0,4449081.15,2.7987614594425594,35.10273327958367,-101.10037377742967
Are Leveraged ETFs Right for Your Portfolio? QLD's Tech Bet vs. SSO's Higher Dividend.,2026-02-13 12:09:31+00:00,AAPL,0.0,261.5899963378906,-0.003803643606853698,268.0379974365234,271.89075469970703,274.11802673339844,267.3994818940431,270.62353249125493,25.091719734582725,7.050018310546875,7.050018310546875,-92.94998168945312,-5.967146898822146,2.907812935965402,284.7811633881734,259.00034601124065,0.09855429388680516,-51040866.0,3951482.05,27.999465340043784,30.543361990791883,-136.99708588813095
"Immersive Technology in Gaming Industry Analysis Report 2026: $66.59 Bn Market Opportunities, Trends, Competitive Landscape, Strategies, and Forecasts, 2020-2025, 2025-2030F, 2035F",2026-02-13 10:51:00+00:00,AAPL,0.0,261.5899963378906,-0.003803643606853698,268.0379974365234,271.89075469970703,274.11802673339844,267.3994818940431,270.62353249125493,25.091719734582725,7.050018310546875,7.050018310546875,-92.94998168945312,-5.967146898822146,2.907812935965402,284.7811633881734,259.00034601124065,0.09855429388680516,-51040866.0,3951482.05,27.999465340043784,30.543361990791883,-136.99708588813095
S&P 500 Takes a Tumble - The Next Support and Buy Level,2026-02-13 08:16:00+00:00,AAPL,0.0,261.5899963378906,-0.003803643606853698,268.0379974365234,271.89075469970703,274.11802673339844,267.3994818940431,270.62353249125493,25.091719734582725,7.050018310546875,7.050018310546875,-92.94998168945312,-5.967146898822146,2.907812935965402,284.7811633881734,259.00034601124065,0.09855429388680516,-51040866.0,3951482.05,27.999465340043784,30.543361990791883,-136.99708588813095
S&P 500 Faces Volatility Spike Into Holiday Weekend,2026-02-13 06:41:00+00:00,AAPL,-0.36077025532722473,261.5899963378906,-0.003803643606853698,268.0379974365234,271.89075469970703,274.11802673339844,267.3994818940431,270.62353249125493,25.091719734582725,7.050018310546875,7.050018310546875,-92.94998168945312,-5.967146898822146,2.907812935965402,284.7811633881734,259.00034601124065,0.09855429388680516,-51040866.0,3951482.05,27.999465340043784,30.543361990791883,-136.99708588813095
"Apple, Nvidia And Other 8 Tech Stocks Just Wiped Out $500 Billion As A New Threat Emerges",2026-02-12 19:06:45+00:00,AAPL,-0.3687064051628113,261.7799987792969,-0.0007258096198802356,271.62049865722656,273.18475646972655,274.47022705078126,269.72225413380215,272.13475641819684,25.053794861869875,8.000030517578125,8.000030517578125,-91.99996948242188,-4.386577081264989,2.789241245814732,283.9933094327238,262.3762035067293,0.08257737805331544,-52761342.0,3903065.9,30.449310235459507,27.553401880369915,-207.65775372321133
"BitMEX lanza la campaña Equity Perps con un premio total de 70,000 USDT",2026-02-12 18:40:00+00:00,AAPL,0.0,261.7799987792969,-0.0007258096198802356,271.62049865722656,273.18475646972655,274.47022705078126,269.72225413380215,272.13475641819684,25.053794861869875,8.000030517578125,8.000030517578125,-91.99996948242188,-4.386577081264989,2.789241245814732,283.9933094327238,262.3762035067293,0.08257737805331544,-52761342.0,3903065.9,30.449310235459507,27.553401880369915,-207.65775372321133
Is Nvidia Headed for a $10 Trillion Market Cap by Decade’s End?,2026-02-12 18:29:00+00:00,AAPL,0.0,262.3299865722656,-0.0032020599279039192,273.2614990234375,273.7977569580078,274.6214270019531,271.1663005621259,272.96316249973944,25.6828821238082,10.749969482421875,10.749969482421875,-89.25003051757812,-4.283584645606602,2.729954310825893,283.1793228428263,264.41619107318934,0.07152492177812153,-48753648.0,3821101.95,34.004100784610955,25.966013162665604,-268.59638652270763
"The Great Distortion: 1,500 Stocks Vs. The Magnificent 7 In Norway's Massive U.S. Equity Portfolio",2026-02-12 15:16:00+00:00,AAPL,0.0,271.25,-0.024516106530817972,276.4425109863281,275.0233322143555,274.91302673339845,275.72958818937445,275.22148151835285,39.13462828117515,11.758923078778814,11.758923078778814,-88.24107692122118,-0.768248054371862,2.0435267857142856,280.0550296153533,269.9916348133577,0.03710007300274886,-31483405.0,3345049.8,45.20409105942045,22.12311739102539,-90.64115773480586
8 High-Yield Dividend Stocks to Buy and Hold for Reliable Passive Income,2026-02-12 14:43:00+00:00,AAPL,0.0,271.25,-0.024516106530817972,276.4425109863281,275.0233322143555,274.91302673339845,275.72958818937445,275.22148151835285,39.13462828117515,11.758923078778814,11.758923078778814,-88.24107692122118,-0.768248054371862,2.0435267857142856,280.0550296153533,269.9916348133577,0.03710007300274886,-31483405.0,3345049.8,45.20409105942045,22.12311739102539,-90.64115773480586
